"","first_author","original_title","average_rating","ratings_count","ratings_1","ratings_5","genres","pages","chick_lit","if_wom","prop_one_star","prop_five_star"
"1","Suzanne Collins","The Hunger Games",4.34,4942365,66715,2706317,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",374,"no","yes",0.0134985983431009,0.547575300488734
"2","J.K. Rowling","Harry Potter and the Philosopher's Stone",4.44,4800065,75504,3011543,"['fantasy', 'fiction', 'young-adult', 'classics']",309,"no","no",0.0157297869924678,0.627396295675163
"3","Stephenie Meyer","Twilight",3.57,3916824,456191,1355439,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",501,"no","yes",0.116469619262954,0.346055630786576
"4","Harper Lee","To Kill a Mockingbird",4.25,3340896,60427,1714267,"['classics', 'fiction', 'historical-fiction', 'young-adult']",324,"no","no",0.0180870640690402,0.513115942549544
"5","F. Scott Fitzgerald","The Great Gatsby",3.89,2773745,86236,947718,"['classics', 'fiction', 'historical-fiction', 'romance']",200,"no","yes",0.0310900966022471,0.341674523072597
"6","John Green","The Fault in Our Stars",4.26,2478609,47994,1311871,"['young-adult', 'romance', 'fiction', 'contemporary']",313,"no","yes",0.0193632799687244,0.529277106635214
"7","J.R.R. Tolkien","The Hobbit or There and Back Again",4.25,2196809,46023,1119718,"['fantasy', 'classics', 'fiction', 'young-adult']",366,"no","no",0.0209499323791918,0.509702026894464
"8","J.D. Salinger","The Catcher in the Rye",3.79,2120637,109383,709176,"['classics', 'fiction', 'young-adult']",277,"no","no",0.0515802563097786,0.334416498438912
"9","Dan Brown","Angels & Demons ",3.85,2078754,77841,680175,"['fiction', 'mystery', 'thriller', 'suspense', 'crime', 'historical-fiction']",736,"no","no",0.0374459892801168,0.327203218851293
"10","Jane Austen","Pride and Prejudice",4.24,2191465,54700,1155673,"['classics', 'fiction', 'romance', 'historical-fiction']",279,"no","yes",0.0249604716479615,0.527351794347617
"11","Khaled Hosseini","The Kite Runner ",4.26,1878095,34288,929591,"['fiction', 'historical-fiction', 'contemporary', 'classics']",371,"no","no",0.0182567974463486,0.494964844696355
"12","Veronica Roth","Divergent",4.24,2216814,36315,1114304,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",487,"no","yes",0.0163816179435893,0.502660123943642
"13","Anne Frank","Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944",4.1,2024493,45225,875372,"['nonfiction', 'classics', 'history', 'biography', 'memoir']",283,"no","no",0.0223389263385944,0.432390726962257
"14","Stieg Larsson","Män som hatar kvinnor",4.11,1929834,54835,836050,"['fiction', 'mystery', 'suspense', 'contemporary', 'thriller', 'crime']",465,"no","no",0.0284143610279433,0.433223790232735
"15","Suzanne Collins","Catching Fire",4.3,1988079,10492,980309,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",391,"no","yes",0.00527745627814589,0.493093584309275
"16","J.K. Rowling","Harry Potter and the Prisoner of Azkaban",4.53,1969375,6716,1266670,"['fantasy', 'young-adult', 'fiction', 'classics']",435,"no","no",0.00341021897810219,0.643183751190098
"17","Suzanne Collins","Mockingjay",4.03,1870748,30144,738775,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",390,"no","yes",0.0161133407599527,0.394908881367239
"18","J.K. Rowling","Harry Potter and the Order of the Phoenix",4.46,1840548,9528,1124806,"['fantasy', 'young-adult', 'fiction', 'classics']",870,"no","no",0.00517671910757014,0.611125599549699
"19","Alice Sebold","The Lovely Bones",3.77,1661562,62777,479323,"['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'crime']",372,"no","no",0.0377819184598589,0.288477348422749
"20","J.K. Rowling","Harry Potter and the Chamber of Secrets",4.37,1906199,8253,1065084,"['fantasy', 'young-adult', 'fiction', 'classics']",341,"no","no",0.00432955845638362,0.55874753895055
"21","J.K. Rowling","Harry Potter and the Goblet of Fire",4.53,1868642,6676,1195045,"['fantasy', 'young-adult', 'fiction', 'classics']",734,"no","no",0.00357264794433605,0.639525923103516
"22","J.K. Rowling","Harry Potter and the Deathly Hallows",4.61,1847395,9363,1318227,"['fantasy', 'young-adult', 'fiction', 'classics']",759,"no","no",0.00506821767948923,0.713559904622455
"23","Dan Brown","The Da Vinci Code",3.79,1557292,71345,479387,"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction', 'crime']",489,"no","no",0.0458135018994511,0.307833726751309
"24","J.K. Rowling","Harry Potter and the Half-Blood Prince",4.54,1785676,7308,1161491,"['fantasy', 'young-adult', 'fiction', 'classics']",652,"no","no",0.00409256774465245,0.650448905624537
"25","William Golding","Lord of the Flies ",3.64,1671484,92779,427846,"['classics', 'fiction', 'young-adult']",182,"no","no",0.0555069626750839,0.25596775081305
"26","William Shakespeare","An Excellent conceited Tragedie of Romeo and Juliet",3.73,1672889,57980,489235,"['classics', 'fiction', 'romance', 'poetry']",301,"no","yes",0.0346586055619948,0.292449170267722
"27","Gillian Flynn","Gone Girl",4.03,1626519,38874,610476,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",415,"no","no",0.0239001204412614,0.375326694615925
"28","Kathryn Stockett","The Help",4.45,1603545,10235,942552,"['fiction', 'historical-fiction', 'contemporary', 'classics', 'chick-lit']",451,"yes","yes",0.00638273325662828,0.587792671861407
"29","John Steinbeck","Of Mice and Men ",3.84,1518741,46630,473795,"['classics', 'fiction', 'historical-fiction']",103,"no","no",0.0307030626025109,0.311965634693473
"30","Arthur Golden","Memoirs of a Geisha",4.08,1418172,23500,559782,"['fiction', 'historical-fiction', 'romance', 'classics']",503,"no","yes",0.0165706275402419,0.394720809605605
"31","E.L. James","Fifty Shades of Grey",3.67,1436818,165455,571909,"['romance', 'fiction', 'contemporary', 'chick-lit']",356,"yes","yes",0.115153763385481,0.398038582478783
"32","Lois Lowry","The Giver",4.12,1345445,26497,585279,"['young-adult', 'fiction', 'classics', 'science-fiction', 'fantasy']",208,"no","no",0.0196938559361401,0.435007748365782
"33","C.S. Lewis","The Lion, the Witch and the Wardrobe",4.19,1584884,19309,734629,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']",206,"no","no",0.0121832260278986,0.46352225147077
"34","Audrey Niffenegger","The Time Traveler's Wife",3.95,1308667,44339,493884,"['fiction', 'romance', 'fantasy', 'science-fiction', 'contemporary', 'chick-lit']",500,"yes","yes",0.0338810407842484,0.377394707744598
"35","George R.R. Martin","A Game of Thrones",4.45,1442220,19988,874574,"['fantasy', 'fiction']",835,"no","no",0.0138591893053764,0.606408176283785
"36","Elizabeth Gilbert","Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51,1206597,100373,314272,"['nonfiction', 'memoir', 'travel', 'biography', 'chick-lit', 'romance', 'spirituality', 'contemporary']",368,"yes","yes",0.0831868469754193,0.260461446531029
"37","Rick Riordan","The Lightning Thief",4.23,1411114,18303,689365,"['fantasy', 'young-adult', 'fiction']",375,"no","no",0.0129706033672687,0.488525377822061
